Taxa,ID,Meds,Magnitude,Cohort,Group,P value,Influence
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Antibiotic,-0.27783832,GVHD,Single drug analysis,0.007434339,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Anaerococcus.s__,g__Anaerococcus,Antibiotic,-0.007730087,GVHD,Single drug analysis,0.034767477,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.__,g__Clostridium1,Antibiotic,-0.806886756,GVHD,Single drug analysis,0.01380161,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi,C. hathewayi,Antibiotic,-0.750038655,GVHD,Single drug analysis,0.010155509,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__,g__Dorea,Antibiotic,-0.305392335,GVHD,Single drug analysis,0.000394203,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__,g__Roseburia2,Antibiotic,-0.280218782,GVHD,Single drug analysis,0.009770044,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__,f__Peptostreptococcaceae1,Antibiotic,-0.261283025,GVHD,Single drug analysis,0.018704384,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii,F. prausnitzii,Antibiotic,-1.471665212,GVHD,Single drug analysis,0.040671795,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Antibiotic,-0.392777189,GVHD,Single drug analysis,0.017135212,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Antibiotic,-0.594093768,GVHD,Single drug analysis,0.02416378,Inhibition
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme,C. spiroforme,Antibiotic,-1.581723869,GVHD,Single drug analysis,0.000567867,Inhibition
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__,g__Campylobacter,Antibiotic,-0.39562018,GVHD,Single drug analysis,0.003432468,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__,g__Bifidobacterium1,Trimethoprim.sulfamethoxazole,0.347458345,GVHD,Single drug analysis,0.041492985,Promotion
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens,C. aerofaciens,Trimethoprim.sulfamethoxazole,0.122883807,GVHD,Single drug analysis,0.013354989,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__,g__Bacteroides1,Trimethoprim.sulfamethoxazole,0.064562394,GVHD,Single drug analysis,0.039700616,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae,B. caccae,Trimethoprim.sulfamethoxazole,1.003954978,GVHD,Single drug analysis,0.031927862,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Trimethoprim.sulfamethoxazole,1.537821869,GVHD,Single drug analysis,0.000846369,Promotion
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Trimethoprim.sulfamethoxazole,-0.776482509,GVHD,Single drug analysis,0.044602366,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Trimethoprim.sulfamethoxazole,-2.818916546,GVHD,Single drug analysis,0.015279818,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__salivarius,L. salivarius,Trimethoprim.sulfamethoxazole,2.756150049,GVHD,Single drug analysis,0.000226837,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta,B. producta,Trimethoprim.sulfamethoxazole,6.353219904,GVHD,Single drug analysis,0.000570289,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi,C. hathewayi,Trimethoprim.sulfamethoxazole,-1.131894872,GVHD,Single drug analysis,0.008159273,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__,f__Peptostreptococcaceae2,Trimethoprim.sulfamethoxazole,-1.359085622,GVHD,Single drug analysis,0.014250107,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__,f__Ruminococcaceae1,Trimethoprim.sulfamethoxazole,1.661625308,GVHD,Single drug analysis,0.006011165,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum,B. pullicaecorum,Trimethoprim.sulfamethoxazole,0.067120048,GVHD,Single drug analysis,0.044847515,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum,C. methylpentosum,Trimethoprim.sulfamethoxazole,0.012902778,GVHD,Single drug analysis,0.000452118,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Trimethoprim.sulfamethoxazole,-0.441671171,GVHD,Single drug analysis,0.034566232,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__,g__Actinomyces,Phenoxymethylpenicillin,0.468862795,GVHD,Single drug analysis,0.002755563,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__,g__Scardovia,Phenoxymethylpenicillin,0.007568672,GVHD,Single drug analysis,7.47E-05,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Phenoxymethylpenicillin,5.676109664,GVHD,Single drug analysis,0.000624136,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Phenoxymethylpenicillin,1.639630862,GVHD,Single drug analysis,0.049097357,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii,A. onderdonkii,Phenoxymethylpenicillin,0.980793183,GVHD,Single drug analysis,0.000673756,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,S. infantis,Phenoxymethylpenicillin,-0.225854878,GVHD,Single drug analysis,0.019733471,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Phenoxymethylpenicillin,0.803794086,GVHD,Single drug analysis,0.003617091,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__,g__Finegoldia,Phenoxymethylpenicillin,0.034376235,GVHD,Single drug analysis,0.00288012,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum,C. paraputrificum,Phenoxymethylpenicillin,0.278819755,GVHD,Single drug analysis,0.015045061,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__,g__SMB53,Phenoxymethylpenicillin,0.263768946,GVHD,Single drug analysis,0.000397977,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques,R. torques,Phenoxymethylpenicillin,-0.263676286,GVHD,Single drug analysis,0.015397347,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae,C. citroniae,Phenoxymethylpenicillin,-0.005454263,GVHD,Single drug analysis,0.016712667,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis,R. faecis,Phenoxymethylpenicillin,3.036985083,GVHD,Single drug analysis,0.000829702,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis,G. formicilis,Phenoxymethylpenicillin,1.83645275,GVHD,Single drug analysis,0.000227592,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__,g__Oscillospira,Phenoxymethylpenicillin,2.713109697,GVHD,Single drug analysis,0.006489808,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Phenoxymethylpenicillin,1.47592478,GVHD,Single drug analysis,0.000648462,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar,V. dispar,Phenoxymethylpenicillin,-3.210581639,GVHD,Single drug analysis,0.02497323,Inhibition
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__,g__Bilophila,Phenoxymethylpenicillin,0.227028127,GVHD,Single drug analysis,9.62E-06,Promotion
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__,g__Campylobacter,Phenoxymethylpenicillin,1.490694806,GVHD,Single drug analysis,1.12E-05,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__dentocariosa,R. dentocariosa,Amoxicillin,0.338022469,GVHD,Single drug analysis,5.80E-08,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Amoxicillin,-0.043130483,GVHD,Single drug analysis,0.038798983,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__,g__Bifidobacterium2,Amoxicillin,-0.668383647,GVHD,Single drug analysis,0.043418985,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__,g__Scardovia,Amoxicillin,2.675357794,GVHD,Single drug analysis,2.95E-08,Promotion
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__,g__Atopobium,Amoxicillin,0.149391185,GVHD,Single drug analysis,0.003167023,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__,f__Barnesiellaceae,Amoxicillin,0.320697957,GVHD,Single drug analysis,0.031917967,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis,B. fragilis,Amoxicillin,-20.63160446,GVHD,Single drug analysis,7.83E-09,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Amoxicillin,2.32837407,GVHD,Single drug analysis,0.032296377,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__,g__Granulicatella,Amoxicillin,-0.037700439,GVHD,Single drug analysis,0.014280763,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,S. infantis,Amoxicillin,1.288836488,GVHD,Single drug analysis,0.019164221,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Amoxicillin,-0.73504228,GVHD,Single drug analysis,0.004485837,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum,C. celatum,Amoxicillin,-0.604362826,GVHD,Single drug analysis,0.018551253,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__,g__SMB53,Amoxicillin,-0.182939164,GVHD,Single drug analysis,0.010160874,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Amoxicillin,0.537250532,GVHD,Single drug analysis,0.000370161,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques,R. torques,Amoxicillin,0.230432601,GVHD,Single drug analysis,0.023602584,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__,g__Blautia,Amoxicillin,5.177869224,GVHD,Single drug analysis,0.047652301,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi,C. hathewayi,Amoxicillin,-2.569208538,GVHD,Single drug analysis,0.000377431,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__longicatena,D. longicatena,Amoxicillin,0.177671461,GVHD,Single drug analysis,0.016541906,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__,g__Roseburia1,Amoxicillin,0.381474539,GVHD,Single drug analysis,0.03662227,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__,f__Peptostreptococcaceae2,Amoxicillin,-2.223561206,GVHD,Single drug analysis,0.017337835,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Amoxicillin,-0.224431506,GVHD,Single drug analysis,0.00175743,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Amoxicillin,-0.992975788,GVHD,Single drug analysis,0.015683252,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii,R. bromii,Amoxicillin,-1.301518967,GVHD,Single drug analysis,0.04222615,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__,g__Acidaminococcus,Amoxicillin,0.716547793,GVHD,Single drug analysis,0.000824063,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__,f__Erysipelotrichaceae,Amoxicillin,-0.325256757,GVHD,Single drug analysis,0.022309034,Inhibition
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__,g__Coprobacillus,Amoxicillin,0.842295257,GVHD,Single drug analysis,0.011089402,Promotion
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__,g__Campylobacter,Amoxicillin,-0.970390071,GVHD,Single drug analysis,0.004027016,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__,g__Actinomyces,Cefuroxime,0.800944059,GVHD,Single drug analysis,5.32E-05,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__,g__Corynebacterium,Cefuroxime,0.087898996,GVHD,Single drug analysis,0.010689145,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__dentocariosa,R. dentocariosa,Cefuroxime,0.067621221,GVHD,Single drug analysis,1.98E-07,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Cefuroxime,0.099381161,GVHD,Single drug analysis,0.000356332,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Cefuroxime,7.192525732,GVHD,Single drug analysis,0.000725585,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Cefuroxime,16.60773122,GVHD,Single drug analysis,3.63E-06,Promotion
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Cefuroxime,2.91855674,GVHD,Single drug analysis,0.000836929,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Cefuroxime,1.168838711,GVHD,Single drug analysis,1.07E-10,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__,g__Granulicatella,Cefuroxime,-0.044515659,GVHD,Single drug analysis,0.012030866,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__,g__Lactobacillus2,Cefuroxime,-0.795184282,GVHD,Single drug analysis,0.042821388,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__,f__Mogibacteriaceae,Cefuroxime,0.418363835,GVHD,Single drug analysis,1.67E-06,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae,C. citroniae,Cefuroxime,-0.007515803,GVHD,Single drug analysis,0.009985937,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Cefuroxime,0.02663611,GVHD,Single drug analysis,0.011856474,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Cefuroxime,-0.199234499,GVHD,Single drug analysis,0.04367662,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar,V. dispar,Cefuroxime,-5.25102847,GVHD,Single drug analysis,0.004020102,Inhibition
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__,f__Erysipelotrichaceae,Cefuroxime,-0.402568382,GVHD,Single drug analysis,0.040186704,Inhibition
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__,g__Bilophila,Cefuroxime,0.297938149,GVHD,Single drug analysis,5.67E-06,Promotion
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__,f__Coriobacteriaceae,Ceftazidime,0.190030062,GVHD,Single drug analysis,5.63E-09,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Pediococcus.__,g__Pediococcus,Ceftazidime,0.998414748,GVHD,Single drug analysis,0.004192802,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__,g__Streptococcus1,Ceftazidime,-19.09117112,GVHD,Single drug analysis,0.030806706,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Ceftazidime,-0.629126964,GVHD,Single drug analysis,0.025674967,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum,C. celatum,Ceftazidime,1.904150386,GVHD,Single drug analysis,5.25E-13,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__,g__SMB53,Ceftazidime,-0.20186515,GVHD,Single drug analysis,0.009000534,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi,C. hathewayi,Ceftazidime,3.337370484,GVHD,Single drug analysis,1.86E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Ceftazidime,0.022685045,GVHD,Single drug analysis,0.006066752,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__,f__Peptostreptococcaceae2,Ceftazidime,6.594259635,GVHD,Single drug analysis,9.02E-12,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__,f__Erysipelotrichaceae,Ceftazidime,0.572580716,GVHD,Single drug analysis,0.000181684,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__,g__Scardovia,Ciprofloxacin,-0.002376917,GVHD,Single drug analysis,0.014063782,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__,g__Parabacteroides,Ciprofloxacin,2.825215404,GVHD,Single drug analysis,0.01102713,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Ciprofloxacin,2.160066344,GVHD,Single drug analysis,0.037059939,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__,g__Lactococcus,Ciprofloxacin,0.268660449,GVHD,Single drug analysis,0.016037122,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__,g__Streptococcus2,Ciprofloxacin,1.543695089,GVHD,Single drug analysis,0.045287237,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Ciprofloxacin,-0.488188881,GVHD,Single drug analysis,0.000349195,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum,C. paraputrificum,Ciprofloxacin,-0.121242427,GVHD,Single drug analysis,0.034208897,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__,g__SMB53,Ciprofloxacin,-0.088503401,GVHD,Single drug analysis,0.018427946,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta,B. producta,Ciprofloxacin,-3.65201036,GVHD,Single drug analysis,0.027785433,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum,C. symbiosum,Ciprofloxacin,-0.118206643,GVHD,Single drug analysis,0.013213273,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__,g__Dorea,Ciprofloxacin,-0.265368936,GVHD,Single drug analysis,0.022310185,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__,g__Lachnospira,Ciprofloxacin,-0.263642853,GVHD,Single drug analysis,0.013720124,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis,R. faecis,Ciprofloxacin,-1.104186511,GVHD,Single drug analysis,0.015621959,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii,F. prausnitzii,Ciprofloxacin,-2.461618041,GVHD,Single drug analysis,0.007448548,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis,G. formicilis,Ciprofloxacin,-0.607744427,GVHD,Single drug analysis,0.015673477,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__,g__Oscillospira,Ciprofloxacin,-1.586167388,GVHD,Single drug analysis,0.001318734,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Ciprofloxacin,-0.719079295,GVHD,Single drug analysis,0.00085748,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii,R. bromii,Ciprofloxacin,-0.756049916,GVHD,Single drug analysis,0.025173158,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Ciprofloxacin,-0.501479626,GVHD,Single drug analysis,0.006667849,Inhibition
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__,f__Enterobacteriaceae,Ciprofloxacin,-2.48271835,GVHD,Single drug analysis,0.025300269,Inhibition
Unassigned.__.__.__.__.__.__,Unassigned,Ciprofloxacin,0.019771756,GVHD,Single drug analysis,0.025652258,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__,g__Parabacteroides,Metronidazole,10.70430785,GVHD,Single drug analysis,6.94E-05,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.__.__,f__Enterococcaceae,Metronidazole,15.68351068,GVHD,Single drug analysis,0.018545678,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Metronidazole,5.397463665,GVHD,Single drug analysis,0.034198631,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Metronidazole,0.610579482,GVHD,Single drug analysis,9.51E-05,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__,g__Scardovia,Meropenem,-0.002031801,GVHD,Single drug analysis,0.009726909,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__,g__Granulicatella,Meropenem,-0.013731361,GVHD,Single drug analysis,0.014209835,Inhibition
